PROKKA_A3R.gbk	JX080301.2.gbk	Staphylococcus phage A3R
PROKKA_A511.gbk	NC_009811.2.gbk	Listeria phage A511
PROKKA_A5W.gbk	EU418428.2.gbk	Staphylococcus phage A5W
PROKKA_A9.gbk	NC_015253.1.gbk	Brochothrix phage A9
PROKKA_AG20.gbk	NC_020871.1.gbk	Listeria phage vB_LmoM_AG20
PROKKA_AvesoBmore.gbk	NC_028887.1.gbk	Bacillus phage AvesoBmore
PROKKA_B4.gbk	NC_018863.1.gbk	Bacillus phage B4
PROKKA_B5S.gbk	JN797796.1.gbk	Bacillus phage B5S
PROKKA_Bastille.gbk	NC_018856.1.gbk	Bacillus phage Bastille
PROKKA_Bc431v3.gbk	NC_020873.1.gbk	Bacillus cereus bacteriophage vB_BceM_Bc431v3
PROKKA_Bcp1.gbk	NC_024137.1.gbk	Bacillus phage Bcp1
PROKKA_BCP78.gbk	NC_018860.1.gbk	Bacillus phage BCP78
PROKKA_BCP8-2.gbk	NC_027355.1.gbk	Bacillus phage BCP8-2
PROKKA_BCU4.gbk	JN797798.1.gbk	Bacillus phage BCU4
PROKKA_BigBertha.gbk	NC_022769.1.gbk	Bacillus phage BigBertha
PROKKA_Bobb.gbk	NC_024792.1.gbk	Bacillus phage Bobb
PROKKA_Bp8p-C.gbk	NC_029121.1.gbk	Bacillus phage Bp8p-C
PROKKA_Bp8p-T.gbk	KJ010548.1.gbk	Bacillus phage Bp8p-T
PROKKA_BPS10C.gbk	NC_023501.1.gbk	Bacillus phage BPS10C
PROKKA_BPS13.gbk	NC_018857.1.gbk	Bacillus phage BPS13
PROKKA_CAM003.gbk	NC_024216.1.gbk	Bacillus phage CAM003
PROKKA_CampHawk.gbk	NC_022761.1.gbk	Bacillus phage CampHawk
PROKKA_CP-51.gbk	NC_025423.1.gbk	Bacillus phage CP-51
PROKKA_ECP3.gbk	NC_027335.1.gbk	Enterococcus phage ECP3
PROKKA_EFDG1.gbk	NC_029009.1.gbk	Enterococcus phage EFDG1
PROKKA_EFLK1.gbk	NC_029026.1.gbk	Enterococcus phage EFLK1
PROKKA_Evoli.gbk	NC_024207.1.gbk	Bacillus phage Evoli
PROKKA_Eyuki.gbk	NC_028944.1.gbk	Bacillus phage Eyuki
PROKKA_Fi200W.gbk	JX080303.2.gbk	Staphylococcus phage Fi200W
PROKKA_G1.gbk	NC_007066.1.gbk	Staphylococcus phage G1
PROKKA_GH15.gbk	NC_019448.1.gbk	Staphylococcus phage GH15
PROKKA_Grass.gbk	NC_022771.1.gbk	Bacillus phage Grass
PROKKA_Hakuna.gbk	NC_024213.1.gbk	Bacillus phage Hakuna
PROKKA_Hoody_T.gbk	NC_024205.1.gbk	Bacillus phage Hoody T
PROKKA_IME-SA118.gbk	KR902361.1.gbk	Staphylococcus phage IME-SA118
PROKKA_IME-SA119.gbk	KR908644.1.gbk	Staphylococcus phage IME-SA119
PROKKA_IME-SA1.gbk	KP687431.1.gbk	Staphylococcus phage IME-SA1
PROKKA_IME-SA2.gbk	KP687432.1.gbk	Staphylococcus phage IME-SA2
PROKKA_ISP.gbk	FR852584.1.gbk	Staphylococcus phage ISP
PROKKA_JBP901.gbk	NC_027352.1.gbk	Bacillus phage JBP901
PROKKA_JD007.gbk	NC_019726.1.gbk	Staphylococcus phage JD007
PROKKA_JL.gbk	NC_028982.1.gbk	Bacillus phage JL
PROKKA_Lb338-1.gbk	NC_012530.1.gbk	Lactobacillus phage Lb338-1
PROKKA_List-36.gbk	NC_024364.1.gbk	Listeria phage List-36
PROKKA_LMSP-25.gbk	NC_024360.1.gbk	Listeria phage LMSP-25
PROKKA_LMTA-148.gbk	NC_024787.1.gbk	Listeria phage LMTA-148
PROKKA_LMTA-34.gbk	KJ586794.1.gbk	Listeria phage LMTA-34
PROKKA_LMTA-57.gbk	KJ591605.1.gbk	Listeria phage LMTA-57
PROKKA_LMTA-94.gbk	KJ586795.1.gbk	Listeria phage LMTA-94
PROKKA_LP-048.gbk	NC_024359.1.gbk	Listeria phage LP-048
PROKKA_LP-064.gbk	KJ094029.1.gbk	Listeria phage LP-064
PROKKA_LP-083-2.gbk	NC_024383.1.gbk	Listeria phage LP-083-2
PROKKA_LP-124.gbk	KJ094031.2.gbk	Listeria phage LP-124
PROKKA_LP-125.gbk	NC_021781.2.gbk	Listeria phage LP-125
PROKKA_LP65.gbk	NC_006565.1.gbk	Lactobacillus phage LP65
PROKKA_Mater.gbk	NC_027366.1.gbk	Bacillus phage Mater
PROKKA_MCE-2014.gbk	NC_025416.1.gbk	Staphylococcus phage MCE-2014
PROKKA_Megatron.gbk	NC_024211.1.gbk	Bacillus phage Megatron
PROKKA_Moonbeam.gbk	NC_027374.1.gbk	Bacillus phage Moonbeam
PROKKA_MSA6.gbk	JX080304.2.gbk	Staphylococcus phage MSA6
PROKKA_P100.gbk	DQ004855.1.gbk	Listeria bacteriophage P100
PROKKA_P108.gbk	NC_025426.1.gbk	Staphylococcus phage P108
PROKKA_P4W.gbk	JX080305.2.gbk	Staphylococcus phage P4W
PROKKA_phiAGATE.gbk	NC_020081.2.gbk	Bacillus phage phiAGATE
PROKKA_phiEF24C.gbk	NC_009904.1.gbk	Enterococcus phage phiEF24C
PROKKA_phiEF24C-P2.gbk	AB609718.1.gbk	Enterococcus phage phiEF24C-P2 DNA
PROKKA_phiIPLA-C1C.gbk	NC_028962.1.gbk	Staphylococcus phage phiIPLA-C1C
PROKKA_phiIPLA-RODI.gbk	NC_028765.1.gbk	Staphylococcus phage phiIPLA-RODI
PROKKA_philBB-SEP1.gbk	KF021268.1.gbk	Staphylococcus phage phiIBB-SEP1
PROKKA_phiNIT1.gbk	NC_021856.1.gbk	Bacillus phage phiNIT1 DNA
PROKKA_phiSA012.gbk	NC_023573.1.gbk	Staphylococcus phage phiSA012 DNA
PROKKA_Remus.gbk	NC_022090.1.gbk	Staphylococcus phage vB_SauM_Remus
PROKKA_Riley.gbk	NC_024788.1.gbk	Bacillus phage Riley
PROKKA_Romulus.gbk	NC_020877.1.gbk	Staphylococcus phage vB_SauM_Romulus
PROKKA_S25-3.gbk	NC_022920.1.gbk	Staphylococcus phage S25-3 DNA
PROKKA_S25-4.gbk	NC_022918.1.gbk	Staphylococcus phage S25-4 DNA
PROKKA_SA11.gbk	NC_019511.1.gbk	Staphylococcus phage SA11
PROKKA_SA5.gbk	JX875065.1.gbk	Staphylococcus phage SA5
PROKKA_Sb-1.gbk	NC_023009.1.gbk	Staphylococcus phage Sb-1
PROKKA_Shanette.gbk	NC_028983.1.gbk	Bacillus phage Shanette
PROKKA_SIOphi.gbk	KC699836.1.gbk	Bacillus phage SIOphi
PROKKA_SPG24.gbk	NC_030903.1.gbk	Bacillus phage SPG24
PROKKA_SPO1.gbk	NC_011421.1.gbk	Bacillus phage SPO1
PROKKA_Spock.gbk	NC_022763.1.gbk	Bacillus phage Spock
PROKKA_Staph1.gbk	JX080300.2.gbk	Staphylococcus phage Staph1N
PROKKA_Team1.gbk	NC_025417.1.gbk	Staphylococcus phage Team1
PROKKA_Troll.gbk	NC_022088.2.gbk	Bacillus phage Troll
PROKKA_TsarBomba.gbk	NC_028890.1.gbk	Bacillus phage TsarBomba
PROKKA_Twort.gbk	NC_007021.1.gbk	Staphylococcus phage Twort
PROKKA_WIL1.gbk	NC_025440.1.gbk	Listeria phage WIL-1
PROKKA_WPh.gbk	NC_016563.1.gbk	Bacillus phage W.Ph.
	NC_005880.2.gbk	Staphylococcus phage K
	JX080302.2.gbk	Staphylococcus phage 676Z
